ID;PNAME;url;lead;description;pkey;pcounter;assignetype;avatar;originalkey;projecttype
13201;0309 Einführung PARIS (Projekt beendet);;b000182;;PARIS;5799;3;10324;PARIS;software
13203;BO Lean Management;;b002251;;BOLM;56;3;10324;BOLM;software
13302;0239 Neue Produkte Kranken 2019 (Projekt beendet);;b000942;;NPK2019;709;3;10324;NPK2019;software
13303;0265 Umsetzung Vertriebs-Anliegen BT4all (Projekt beendet);;b000942;;VERANBT;347;3;10324;VERANBT;software
13304;0279 Neue Angebots- und Portaltechnologie;;b002024;;TVPATEC;3336;2;10324;TVPATEC;software
13305;0282 Budgetverfahren SHUK (Projekt beendet);;b000942;;BUDGETSHUK;55;3;10324;BUDGETSHUK;software
13306;0290 Neue Produkte Leben 2019/2020 (Projekt beendet);;b000942;;NPL2019;3116;3;10324;NPL2019;software
13307;0294 Neue Produkte SHUK 2019 (Projekt beendet);;b000942;;NPS2019;892;3;10324;NPS2019;software
13308;0258 Fit4GwG (Projekt beendet);;b000942;;GWG2019;7;3;10324;GWG2019;software
13309;0288 DUBI Stufe 2 (Projekt beendet);;b001411;;DUBIS2;95;3;10324;DUBIS2;software
13310;0257 Entwicklung/Implementierung Customer Experience Management SHU(Proj. beend);;b000942;;CEMSHU;83;3;10324;CEMSHU;software
13311;0256 NVC Gewerbe (Projekt beendet);;b000942;;NVC2019;319;3;10324;NVC2019;software
13312;0298 E-Mail Nutzungskonzept (Projekt beendet);;b001792;;EMAILNK;24;3;10324;EMAILNK;software
13313;0308 OPEX Programm (Projekt beendet);;b001284;am 22.05.2019 auf Anforderung von BO-PPM umbenannt von 0308 Optimierung Operations-Geschäftsprozesse mit Lean-Methodik;OOGPLM;4;3;10324;OOGPLM;software
13314;0303 Marketing Management-System (MMS) (Projekt beendet);;b000417;;MMS;31;3;10324;MMS;software
13315;0235 NÜRNBERGER Asset Management (NAM) (Projekt beendet);;b002271;;NIM;23;3;10324;NIM;software
13400;0089 AKAB-ElektrA Kranken (Projekt beendet);;b001802;;AKABELKA;116;2;10324;AKABELKA;software
13401;0260 KOBIS (Projekt beendet);;b000015;;KWBIS;9;3;10324;KWBIS;software
13402;IT Architektur;;b003069;;ITARC;401;3;10324;ITARC;business
13403;0274 BOSS-Auswertungsbestand (Projekt beendet);;b000861;;BAWB;8;3;10324;BAWB;software
13404;0287 Wirtschaftliches Abwicklungsergebnis maschinell ermitteln (Projekt beendet);;b000861;;WAEME;5;3;10324;WAEME;software
13405;ZeBRA;;b001330;;ZEBRA;221;3;10324;ZEBRA;software
13406;0292 Versorgungsausgleich (Projekt beendet);;b000397;;VA;41;3;17306;VA;software
13407;0289 Bestandsmigration Leben (Projekt beendet);;b000674;;BMLVK;25;3;10324;BMLVK;software
13501;0237 Einführung Com:N;;b003069;"Projektname auf Anforderung von BO-PPM von ""0237 Neues Standard-Provisionssystem"" geändert in ""0237 Einführung Com:N""";NSPS;4031;2;10324;NSPS;software
13502;0295 Neuaufbau Produktwelt SHU-Gewerbe (Projekt beendet);;b002006;;NPWSHU;534;3;10324;NPWSHU;software
13503;0238 Auswahl und Implementierung einer neuen CAFM-Software (Projekt beendet);;b000013;;AICAFM;8;3;10324;AICAFM;software
13504;0310 Anbindung PV-Direktvertrieb (Projekt beendet);;b002147;;ABPVDV;9;3;10324;ABPVDV;software
13506;0275 EKS in der bAV (Projekt beendet);;b002224;;EKSBAV;5;3;10324;EKSBAV;software
13507;FaktorZehn - POC neue Bestandsführung (Projekt beendet);;b002113;Individualprojekt für POC neue Bestandsführung des Herstellers FaktorZehn;F10POCNBF;203;3;10324;F10POCNBF;software
13600;Organisation IT-QTM;;b001664;;ITQTM;173;3;10324;ITQTM;software
13700;Innoboard;;b001828;;INNO;95;3;10324;INNO;software
13701;Release-Planung Dev;https://architektur/wiki/x/7gSQBQ;b002288;;REDD;581;3;15426;REDD;software
13800;Identity- und Access-Management (IAM);;b001638;;IAM;81;3;15606;IAM;software
13900;Deployment Dev;;b002288;;DPLD;2743;3;15425;DPLD;software
13902;0370 OPEX Lean Welle 1 (Projekt beendet);;b001284;;OPEXLW1;4;3;10324;OPEXLW1;software
13903;0312 Kfz-Digital (Projekt beendet);;b001051;;SOAHVO;176;3;10324;SOAHVO;software
13904;Deployment;https://architektur/wiki/display/RED/Release-Management;b002288;;DPL;33838;3;15424;DPL;software
14000;Release-Planung;https://architektur/wiki/display/RED/Release-Management;b002288;;RPL;1145;3;15608;RPL;software
14002;0311 InExkasso 2.0 (Projekt beendet);;b000308;;NZVI;0;3;10324;NZVI;software
14004;0371 OPEX TaskForce Arbeitsstände (Projekt beendet);;b001284;;OPEXTFAS;3;3;10324;OPEXTFAS;software
14005;0357 EZB-Meldepflichten (Umsetzung EBAV) (Projekt beendet);;b001781;;EZBMP;13;3;10324;EZBMP;software
14006;0276 EFFZE:N;;b003069;;EBEKOM;40476;3;10324;EBEKOM;software
14100;Wilken - PoC Zahlungsverkehr (Projekt beendet);;b000308;Individualprojekt PoC Zahlungsverkehr für Wilken;WPZ;12;3;16202;WPZ;software
14200;OM-Anforderungsmanagement (Projekt beendet);;b002145;Erfassung und Verwaltung der Anforderungen ans Outputmanagement der NÜRNBERGER.;OMA;482;3;10330;OMA;software
14300;OMNITRACKER Taskliste;;b002205;;OT;153;3;16406;OT;software
14400;0313 Neue Produkte Kranken 2020 (Projekt beendet);;b000942;;NPK2020;531;3;10324;NPK2020;software
