source_node_id;soure_node_entity;sink_node_id;sind_node_entity;association_type;sequence
77546;Issue;16533;Version;IssueFixVersion;
77548;Issue;16526;Version;IssueFixVersion;
77548;Issue;16533;Version;IssueFixVersion;
77549;Issue;16526;Version;IssueFixVersion;
77549;Issue;16533;Version;IssueFixVersion;
77550;Issue;16526;Version;IssueFixVersion;
77550;Issue;16533;Version;IssueFixVersion;
77555;Issue;14313;Component;IssueComponent;
77557;Issue;14313;Component;IssueComponent;
77563;Issue;13620;Component;IssueComponent;
77563;Issue;14636;Version;IssueFixVersion;
77563;Issue;14636;Version;IssueVersion;
77568;Issue;14313;Component;IssueComponent;
77570;Issue;12527;Component;IssueComponent;
77575;Issue;13616;Component;IssueComponent;
77575;Issue;14640;Version;IssueFixVersion;
77576;Issue;17013;Component;IssueComponent;
77577;Issue;14424;Component;IssueComponent;
77578;Issue;13616;Component;IssueComponent;
77578;Issue;14640;Version;IssueFixVersion;
77579;Issue;15500;Component;IssueComponent;
77579;Issue;16474;Version;IssueFixVersion;
77579;Issue;16474;Version;IssueVersion;
77579;Issue;16533;Version;IssueFixVersion;
77580;Issue;14424;Component;IssueComponent;
77584;Issue;12527;Component;IssueComponent;
77585;Issue;13514;Component;IssueComponent;
77587;Issue;12325;Component;IssueComponent;
77588;Issue;13616;Component;IssueComponent;
77588;Issue;14640;Version;IssueFixVersion;
77588;Issue;14640;Version;IssueVersion;
77590;Issue;13616;Component;IssueComponent;
77590;Issue;14340;Component;IssueComponent;
77590;Issue;14640;Version;IssueFixVersion;
77590;Issue;14640;Version;IssueVersion;
77593;Issue;13941;Component;IssueComponent;
77594;Issue;12527;Component;IssueComponent;
77595;Issue;12527;Component;IssueComponent;
77596;Issue;12527;Component;IssueComponent;
77597;Issue;12527;Component;IssueComponent;
77599;Issue;12447;Component;IssueComponent;
77599;Issue;12527;Component;IssueComponent;
77599;Issue;13505;Component;IssueComponent;
77601;Issue;12527;Component;IssueComponent;
77604;Issue;12527;Component;IssueComponent;
77606;Issue;13616;Component;IssueComponent;
77606;Issue;14640;Version;IssueFixVersion;
77606;Issue;14640;Version;IssueVersion;
77606;Issue;15304;Version;IssueFixVersion;
77612;Issue;14313;Component;IssueComponent;
77616;Issue;12602;Component;IssueComponent;
77620;Issue;14313;Component;IssueComponent;
77622;Issue;14624;Version;IssueFixVersion;
77623;Issue;14313;Component;IssueComponent;
77624;Issue;13616;Component;IssueComponent;
77624;Issue;14640;Version;IssueFixVersion;
77624;Issue;14640;Version;IssueVersion;
77629;Issue;12511;Component;IssueComponent;
77629;Issue;13516;Component;IssueComponent;
77629;Issue;15407;Version;IssueVersion;
