ID;CUSTOMFIELDTYPEKEY;CUSTOMFIELDSEARCHERKEY;cfname;DESCRIPTION;defaultvalue;FIELDTYPE;PROJECT;ISSUETYPE;cfkey;lastvalueupdate;issueswithvalue
16600;com.atlassian.jira.plugin.system.customfieldtypes:select;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;Sparten;;;;;;;2025-01-13 14:29:07.030;3915.0
16700;com.atlassian.jira.plugin.system.customfieldtypes:textarea;com.atlassian.jira.plugin.system.customfieldtypes:textsearcher;Config-Keys;;;;;;;2025-01-13 16:29:07.140;8224.0
16800;com.atlassian.jira.plugin.system.customfieldtypes:select;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;Programm;;;;;;;2024-11-28 11:05:51.453;125.0
16900;com.okapya.jira.checklist:checklist;com.okapya.jira.checklist:checklist-searcher;Staging-Checkliste;;;;;;;2025-01-13 11:29:06.880;736.0
17000;com.atlassian.jira.plugin.system.customfieldtypes:select;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;wait context;;;;;;;2025-01-13 16:29:07.140;45.0
17001;com.atlassian.jira.plugin.system.customfieldtypes:datepicker;com.atlassian.jira.plugin.system.customfieldtypes:daterange;Testbeginn TEST;;;;;;;2025-01-07 14:15:18.047;291.0
17002;com.atlassian.jira.plugin.system.customfieldtypes:datepicker;com.atlassian.jira.plugin.system.customfieldtypes:daterange;Testende TEST;;;;;;;2025-01-07 14:15:18.047;279.0
17003;com.atlassian.jira.plugin.system.customfieldtypes:select;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;Qualität;;;;;;;2023-10-25 14:10:24.170;84786.0
17004;com.atlassian.jira.plugin.system.customfieldtypes:select;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;Performance;;;;;;;2023-10-22 12:12:45.097;84784.0
17005;com.atlassian.jira.plugin.system.customfieldtypes:select;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;Funktion;;;;;;;2023-10-25 14:10:24.170;84775.0
17101;com.atlassian.jira.plugin.system.customfieldtypes:multiselect;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;Teamzuordnung;für AKAB, BTL und AMTECHST;;;;;;2025-01-13 17:29:07.200;3116.0
17200;com.atlassian.jira.plugin.system.customfieldtypes:select;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;Release-Typ;für Freigaben;;;;;;2025-01-13 14:29:07.030;1159.0
17201;com.atlassian.jira.plugin.system.customfieldtypes:select;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;Freigabe für;;;;;;;2025-01-13 14:29:07.030;1222.0
17202;com.atlassian.jira.plugin.system.customfieldtypes:select;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;QG für Freigabe;;;;;;;2024-03-27 12:09:24.753;5.0
17300;com.atlassian.jira.plugin.system.customfieldtypes:float;com.atlassian.jira.plugin.system.customfieldtypes:exactnumber;Anzahl Reopen;;;;;;;2025-01-02 10:09:40.067;227.0
17401;com.atlassian.jira.plugin.system.customfieldtypes:project;com.atlassian.jira.plugin.system.customfieldtypes:projectsearcher;geplant in (Automation);für ADE zum Test;;;;;;2025-01-10 13:15:24.307;69.0
17600;com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;Bestätigung;Verwerfen oder Ablehnen des Vorgangs bestätigen;;;;;;;0.0
17700;com.atlassian.jira.plugin.system.customfieldtypes:textarea;com.atlassian.jira.plugin.system.customfieldtypes:textsearcher;Begründung Zurückgestellt;;;;;;;;1.0
